     Radius(Au)   SIGMA(gcm-2)    Omega(yr-1)     Nu(cm2s-1)        Tmid(K)         Tef(K)        Cs(m/s)          H(AU)      RO(gcm-3)   Pg(gcm-1s-2)            TAU     Vrad(cm/s)    Vturb(cm/s)     MFre_P(cm)        Q_Toomr          VDisk OPTIC Drag_
  1.0000000E-01  1.0798591E+03  1.3984220E+02  1.6838228E+14  1.5763623E+03  5.2084006E+02  2.4408102E+03  4.5990809E-03  7.8266300E-09  3.0056156E+02  1.8155266E+02 -3.6852915E+02  8.7122535E+04  0.0000000E+00  2.8384676E+03  0.0000000E+00     4     0
  1.5578043E-01  9.1270052E+02  7.1923186E+01  3.1163025E+14  1.5004790E+03  4.2748329E+02  2.3813376E+03  8.7242347E-03  3.4872229E-09  2.4784580E+02  3.5339599E+02 -3.9936551E+02  8.4999711E+04  0.0000000E+00  2.8384676E+03  0.0000000E+00     4     0
  2.2387359E-01  7.0864401E+02  4.1747834E+01  5.0373216E+14  1.4078456E+03  3.4650843E+02  2.3066596E+03  1.4558776E-02  1.6224899E-09  1.0819544E+02  6.4848214E+02 -4.3700856E+02  8.2334149E+04  0.0000000E+00  2.0554727E+03  0.0000000E+00     4     0
  3.0427950E-01  5.1850065E+02  2.6346882E+01  7.4801735E+14  1.3193569E+03  2.8760294E+02  2.2329919E+03  2.2332288E-02  7.7391780E-10  4.8364764E+01  1.1564600E+03 -5.3467055E+02  7.9704646E+04  0.0000000E+00  1.7162851E+03  0.0000000E+00     4     0
  3.9699813E-01  4.8384616E+02  1.7678913E+01  9.7976834E+14  1.1595791E+03  2.5494963E+02  2.0934191E+03  3.1201532E-02  5.1690429E-10  2.8391114E+01  1.0210737E+03 -2.5519982E+02  7.4722719E+04  0.0000000E+00  1.1569825E+03  0.0000000E+00     3     0
  5.0202951E-01  4.1582513E+02  1.2432097E+01  1.0417924E+15  8.6705563E+02  2.1690461E+02  1.8102122E+03  3.8367225E-02  3.6126767E-10  1.4837065E+01  7.0561933E+02 -4.3152979E+02  6.4613902E+04  0.0000000E+00  8.1862593E+02  0.0000000E+00     3     0
  6.1937362E-01  4.1187495E+02  9.0721286E+00  1.2307376E+15  7.4747394E+02  1.9267110E+02  1.6807535E+03  4.8816891E-02  2.8123800E-10  9.9573094E+00  6.2529786E+02 -2.6807569E+02  5.9992991E+04  0.0000000E+00  5.5997702E+02  0.0000000E+00     3     0
  7.4903047E-01  3.7490226E+02  6.8216436E+00  1.3270675E+15  6.0604299E+02  1.7071364E+02  1.5134139E+03  5.8458003E-02  2.1377299E-10  6.1366054E+00  4.8631778E+02 -3.0810021E+02  5.4019953E+04  0.0000000E+00  4.1653456E+02  0.0000000E+00     3     0
  8.9100006E-01  3.5702517E+02  5.2580130E+00  1.4691058E+15  5.1712572E+02  1.5396855E+02  1.3979900E+03  7.0057995E-02  1.6987125E-10  4.1609065E+00  4.1116908E+02 -2.6153209E+02  4.9900001E+04  0.0000000E+00  3.1142198E+02  0.0000000E+00     3     0
  1.0452824E+00  3.3540790E+02  4.1379745E+00  1.5887849E+15  4.4012325E+02  1.3982284E+02  1.2897132E+03  8.2125993E-02  1.3613550E-10  2.8380344E+00  3.4227765E+02 -2.5228147E+02  4.6035158E+04  0.0000000E+00  2.4067448E+02  0.0000000E+00     3     0
  1.2118774E+00  3.1781169E+02  3.3147456E+00  1.7146171E+15  3.8048606E+02  1.2807610E+02  1.1991551E+03  9.5323605E-02  1.1113431E-10  2.0028981E+00  2.9076923E+02 -2.3387118E+02  4.2802769E+04  0.0000000E+00  1.8918124E+02  0.0000000E+00     3     0
  1.3907852E+00  3.0143749E+02  2.6961754E+00  1.8368323E+15  3.3154239E+02  1.1809439E+02  1.1193748E+03  1.0939631E-01  9.1848770E-11  1.4423955E+00  2.4872881E+02 -2.2056049E+02  3.9955081E+04  0.0000000E+00  1.5144285E+02  0.0000000E+00     3     0
  1.5820058E+00  2.8671966E+02  2.2224201E+00  1.9586791E+15  2.9141430E+02  1.0953874E+02  1.0494492E+03  1.2442583E-01  7.6811396E-11  1.0602504E+00  2.1476581E+02 -2.0795852E+02  3.7459150E+04  0.0000000E+00  1.2304175E+02  0.0000000E+00     3     0
  1.7855390E+00  2.7327985E+02  1.8534643E+00  2.0794810E+15  2.5802428E+02  1.0212660E+02  9.8749814E+02  1.4038715E-01  6.4887197E-11  7.9303350E-01  1.8684332E+02 -1.9687828E+02  3.5247862E+04  0.0000000E+00  1.0130602E+02  0.0000000E+00     3     0
  2.0013850E+00  2.6097732E+02  1.5618606E+00  2.1995999E+15  2.2998916E+02  9.5648579E+01  9.3230858E+02  1.5728695E-01  5.5308111E-11  6.0251537E-01  1.6368460E+02 -1.8688666E+02  3.3277920E+04  0.0000000E+00  8.4395940E+01  0.0000000E+00     3     0
  2.2295438E+00  2.4965164E+02  1.3283553E+00  2.3191226E+15  2.0623356E+02  8.9941685E+01  8.8284746E+02  1.7512442E-01  4.7518908E-11  4.6419210E-01  1.4428741E+02 -1.3304744E+02  3.1512449E+04  0.0000000E+00  7.1053890E+01  0.0000000E+00     3     0
  2.4700153E+00  2.4587971E+02  1.1391707E+00  2.3718635E+15  1.8088389E+02  8.4093912E+01  8.2681043E+02  1.9124603E-01  4.2855740E-11  3.6718154E-01  1.2879444E+02 -2.5590676E+02  2.9512258E+04  0.0000000E+00  5.7942125E+01  0.0000000E+00     3     0
  2.7227995E+00  2.2161185E+02  9.8427118E-01  2.6475796E+15  1.7445571E+02  8.0122489E+01  8.1198609E+02  2.1737476E-01  3.3983070E-11  2.8081464E-01  1.4851808E+02 -2.6568840E+02  2.8983116E+04  0.0000000E+00  5.4549746E+01  0.0000000E+00     2     0
  2.9878964E+00  1.9991406E+02  8.5622903E-01  2.9491017E+15  1.6904452E+02  7.6578694E+01  7.9929399E+02  2.4597552E-01  2.7091322E-11  2.1692182E-01  1.7238615E+02 -2.7158186E+02  2.8530083E+04  0.0000000E+00  5.1781605E+01  0.0000000E+00     2     0
  3.2653061E+00  1.8103105E+02  7.4946681E-01  3.2688383E+15  1.6400884E+02  7.3376530E+01  7.8729886E+02  2.7679772E-01  2.1800643E-11  1.6935908E-01  1.9883047E+02 -2.7720092E+02  2.8101928E+04  0.0000000E+00  4.9301633E+01  0.0000000E+00     2     0
